ID,Standard,Sekce metodiky,Téma,Obtížnost,Typ,Otázka,Odpověď A,Odpověď B,Odpověď C,Správná odpověď,Správná odpověď ID,Vysvětlení,Ověřovaná kompetence,Kritické téma,Verze banky,Verze metodiky,Aktivní
SAS-040,10,Standard 10.5 – Individuální supervize a intervize.,Individuální supervize,POKROČILÁ,situační,"Pracovníka výrazně psychicky zasáhne náročný případ. Má obavu, že zátěž začíná ovlivňovat jeho soustředění, ale zároveň chce zachovat kontinuitu podpory rodiny. Jaký postup nejlépe odpovídá metodice?","Požádat o individuální supervizi nebo konzultaci a podle potřeby s vedoucím probrat další podporu tak, aby byla zachována bezpečná a odborná práce.","Pokračovat beze změny do nejbližší skupinové supervize, protože průběžná individuální podpora by mohla narušit kontinuitu případu.","Případ bez další konzultace předat kolegovi a k rodině se dočasně nevracet, aby pracovník nemusel své zatížení v týmu otevírat.",A,SAS-040-A,Metodika umožňuje individuální supervizi či konzultaci zejména při akutní psychické zátěži nebo mimořádně složitém případu. Smyslem je chránit pracovníka i kvalitu a kontinuitu služby.,Schopnost včas využít systém odborné podpory.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-041,11,Standard 11.2 – Místní dostupnost služby.,Místní působnost,ZÁKLADNÍ,znalostní,Na jakou oblast je služba podle metodiky primárně místně zaměřena?,Na celý Zlínský kraj bez dalšího územního vymezení.,Na ORP Valašské Meziříčí a spádové okolí.,Pouze na klienty s trvalým pobytem přímo ve Valašském Meziříčí.,B,SAS-041-B,"Metodika pracuje s ORP Valašské Meziříčí a jeho spádovým okolím, nikoli pouze se samotným městem.",Základní znalost místní působnosti.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-042,11,Standard 11.2 a zásada terénního charakteru služby ve Standardu 1.4.,Terénní forma služby,ZÁKLADNÍ,znalostní,Která forma poskytování má podle metodiky v SAS převažovat?,Výhradně ambulantní práce v centru.,Pobytová forma pro celé rodiny.,Terénní práce v přirozeném prostředí rodiny.,C,SAS-042-C,"Služba je koncipována především jako terénní, i když využívá také ambulantní formu.",Znalost základní formy služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-043,11,Standard 11.3 a 11.5.,Časová flexibilita,STŘEDNÍ,situační,Pracující rodič se kvůli zaměstnání opakovaně nemůže účastnit návštěv v běžném odpoledním čase. Co nejlépe odpovídá metodice?,"Podle možností služby hledat flexibilní termín, včetně pozdější návštěvy po předchozí dohodě.","Trvat na stejném čase pro všechny klienty, aby byl zachován rovný přístup.",Převést rodinu automaticky pouze na telefonické konzultace.,A,SAS-043-A,Dostupnost služby má reagovat na reálné možnosti rodin a metodika počítá s pružností pracovní doby.,Rozlišení rovného přístupu od mechanicky stejného zacházení.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-044,11,Standard 11.6; obsahově také Standard 3.5.,Kapacitní dostupnost,POKROČILÁ,situační,"Služba má naplněnou kapacitu. Obrátí se na ni rodina, která jednoznačně patří do cílové skupiny a potřebuje podporu, ale popsaná situace není akutním ohrožením. Jaký postup je nejlepší?",Rodinu dočasně přijmout nad registrovanou kapacitu a administrativně ji zařadit až po uvolnění místa.,"Transparentně vysvětlit kapacitní situaci, nabídnout základní poradenství či vhodný návazný zdroj a další postup řešit podle pravidel evidence zájemců a kapacity.","Rodinu pouze zapsat na čekací seznam bez dalšího poradenství, protože aktivnější podpora by znamenala překročení kapacity.",B,SAS-044-B,"Naplněná kapacita se nemá obcházet, ale ani vést k pouhému odmítnutí bez orientace. Metodika počítá s informováním, základním poradenstvím či zprostředkováním jiné vhodné pomoci.",Profesní postup při omezené kapacitě.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-045,12,Standard 12.1–12.3.,Kvalita informací,ZÁKLADNÍ,znalostní,"Jaké mají být informace poskytované veřejnosti, zájemcům a uživatelům?","Především právně přesné, i kdyby byly pro část klientů obtížně srozumitelné.","Co nejstručnější, aby pracovníci klienty nezatěžovali podrobnostmi.","Úplné, aktuální a podané srozumitelnou formou.",C,SAS-045-C,Informovanost není splněna pouhou dostupností informace; klient jí musí být schopen rozumět.,Základní princip informovanosti.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-046,12,Standard 12.3 – Srozumitelnost a jazyková dostupnost.,Nízká gramotnost a jazyková bariéra,STŘEDNÍ,situační,Klient má nízkou gramotnost a zároveň omezeně rozumí češtině. Jak má pracovník předávat důležité informace?,"Použít jednoduchý jazyk, ústní a názorné vysvětlení a podle potřeby překlad či tlumočení a ověřit porozumění.","Předat standardní písemný materiál, protože použití stejného dokumentu zajišťuje rovnost klientů.",Veškerou komunikaci automaticky vést přes příbuzného klienta.,A,SAS-046-A,Forma komunikace má být přizpůsobena schopnostem klienta; metodika počítá s názorností i jazykovou podporou.,Praktickou dostupnost informací.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-047,12,Standard 12.6 a 12.7.,Informování o změnách,STŘEDNÍ,situační,Kvůli nepřítomnosti pracovníka se musí změnit již dohodnuté termíny několika klientů. Jak má služba postupovat?,Počkat na další osobní kontakt a změnu vysvětlit až tehdy.,Klienty o změně včas informovat vhodným komunikačním kanálem a podle možností domluvit další postup.,"Změnit pouze informaci na webu, protože tím je splněna informační povinnost.",B,SAS-047-B,"Informace o změnách, které mají dopad na konkrétního klienta, mají být aktivně a srozumitelně předávány.",Aktivní informování uživatelů o změně služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-048,12,Standard 12.6 – Informovanost uživatelů v průběhu služby.,Zavedení nového pravidla,POKROČILÁ,situační,"Organizace zavede nové vnitřní pravidlo, které mění část práv a povinností stávajících klientů. Někteří klienti mají nízkou gramotnost. Jaký postup je nejvhodnější?",Zveřejnit úplné znění na webu a při nejbližší návštěvě si nechat podepsat potvrzení o seznámení.,"Rozeslat klientům písemnou informaci a další vysvětlení poskytovat pouze těm, kteří se sami zeptají.","Klienty aktivně informovat srozumitelnou formou, vysvětlit praktický dopad změny a podle potřeby ověřit, že jí porozuměli.",C,SAS-048-C,"Metodika klade důraz na průběžné, aktivní a srozumitelné informování uživatelů. Samotné zveřejnění, doručení textu nebo podpis bez porozumění nestačí.",Rozlišení formálního informování od skutečného porozumění.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-049,13,Standard 13.2 – Terénní forma služby.,Domluvená terénní návštěva,ZÁKLADNÍ,znalostní,Jak mají podle metodiky běžně probíhat návštěvy v domácnosti rodiny?,Návštěva je předem domluvena a pracovník respektuje soukromí domácnosti.,"Pracovník může přijít bez oznámení, pokud potřebuje ověřit skutečné podmínky dítěte.","První návštěva je domluvená, další může pracovník provádět bez předchozí dohody.",A,SAS-049-A,"Metodika zdůrazňuje, že pracovník je v domácnosti hostem a návštěva má být předem dohodnuta.",Respekt k soukromí při terénní práci.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-050,13,Standard 13.2; související krizový postup Standardu 14.3.,Bezpečnost při návštěvě,STŘEDNÍ,situační,"Při příchodu na dohodnutou návštěvu pracovník zjistí, že se v domácnosti volně pohybuje agresivní pes a klient jej odmítá zajistit. Co je nejvhodnější?","Vstoupit, pokud klient ujistí pracovníka, že psa zná a dokáže jej během návštěvy slovně usměrnit.",Požadovat bezpečné podmínky a při nezajištěném riziku do domácnosti nevstupovat nebo již zahájenou návštěvu ukončit.,Návštěvu uskutečnit jen v omezeném rozsahu u vchodu a řešit zabezpečení psa až při příštím plánovaném kontaktu.,B,SAS-050-B,Dohodnutá návštěva neznamená povinnost pracovníka vstupovat do nebezpečného prostředí.,Bezpečné rozhodování při terénní práci.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-051,13,Standard 13.2 – Podmínky v domácnostech.,Posuzování domácího prostředí,STŘEDNÍ,situační,Pracovník při návštěvě vnímá domácnost jako velmi neuspořádanou a materiálně nedostatečně vybavenou. Jak má situaci posuzovat?,Podle vlastních představ o přiměřené úrovni domácnosti a rodiče k ní vést.,"Chybějící vybavení co nejrychleji zajistit z prostředků služby, aby byl problém odstraněn.","Hodnotit konkrétní dopad podmínek na dítě a s rodinou pracovat na řešení, které podporuje její vlastní schopnosti a odpovědnost.",C,SAS-051-C,"Metodika nevede pracovníka k estetickému hodnocení domácnosti, ale k posouzení bezpečí, potřeb dítěte a možností podpory.",Nepaternalistické hodnocení životních podmínek.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-052,13,Standard 13.2 – Respekt k soukromí při terénní práci.,Soukromí v domácnosti,POKROČILÁ,situační,"Při běžné terénní návštěvě klient nechce pracovníka pustit do ložnice. Pracovník ví, že tam dítě spí, ale nemá konkrétní informaci o bezprostředním riziku nebo ohrožení. Jaký postup je nejlepší?",Respektovat vymezené soukromí domácnosti a pracovat v dohodnutých prostorách; případné konkrétní obavy dál zjišťovat přiměřeným způsobem.,"Přesunout další spolupráci pouze do ambulance, dokud klient nepovolí pracovníkovi přístup do všech místností domácnosti.","Požadovat jednorázovou prohlídku ložnice za přítomnosti klienta, protože dítě místnost užívá a SAS musí posoudit celé domácí prostředí.",A,SAS-052-A,Pracovník je v domácnosti hostem a respektuje soukromí. Bez konkrétního důvodu k zásahu nemá obecné právo kontrolovat všechny místnosti; případné obavy má řešit přiměřeně skutečnému riziku.,Rozlišení sociální práce od kontrolního zásahu.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-053,14,Standard 14.2 a 14.5.,Evidence incidentu,ZÁKLADNÍ,znalostní,Co má podle metodiky následovat po mimořádné události?,"Zápis se pořizuje jen tehdy, pokud zasahovala některá složka IZS.",Událost se písemně zaznamená a následně se vyhodnotí její průběh a případná opatření.,"Pokud byla situace zvládnuta bez zranění, další dokumentace není potřebná.",B,SAS-053-B,Evidence a následná reflexe mimořádných událostí jsou součástí prevence jejich opakování.,Základní postup po incidentu.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-054,14,Standard 14.3 – Agresivní klient.,Agrese klienta,STŘEDNÍ,situační,Klient během návštěvy začne být stále agresivnější a nereaguje na snahu situaci uklidnit. Co má pracovník udělat?,"Pokračovat v rozhovoru z větší vzdálenosti a návštěvu ukončit až tehdy, pokud klient přejde k fyzickému napadení.","Upozornit klienta na porušování pravidel, požádat jej o zklidnění a před odchodem se pokusit dokončit alespoň nezbytnou část návštěvy.","Zachovat klid a odstup, při pokračující agresi návštěvu ukončit a bezpečně odejít; při ohrožení života volat Policii ČR a incident následně oznámit a zaznamenat.",C,SAS-054-C,Bezpečnost pracovníka má přednost před dokončením plánované návštěvy a metodika stanovuje konkrétní eskalační postup.,Praktický bezpečnostní postup při agresi.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-055,14,Standard 14.3 – Zdravotní kolaps nebo úraz.,Zdravotní kolaps,STŘEDNÍ,situační,Během aktivity dojde u přítomné osoby k náhlému zdravotnímu kolapsu a pracovník vyhodnotí stav jako život ohrožující. Jak má postupovat?,"Přivolat zdravotnickou záchrannou službu, poskytnout základní první pomoc a zůstat s osobou do příjezdu pomoci.","Odvézt osobu vlastním vozidlem do nemocnice, aby se neztrácel čas telefonováním.",Zavolat nejprve rodině postiženého a nechat další postup na jejím rozhodnutí.,A,SAS-055-A,Metodika při závažném zdravotním stavu počítá s voláním ZZS a poskytnutím základní první pomoci.,Základní orientaci v akutní zdravotní situaci.,ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-056,14,Standard 14.3 – Ztracení dítěte při doprovodu.,Ztráta dítěte,POKROČILÁ,situační,"Při doprovodu se pracovníkovi ztratí dítě. Pracovník okamžitě prohledal okolí a kontaktoval rodiče i dostupné kolegy, ale dítě se ani po 30 minutách nepodařilo najít. Jaký další postup stanovuje metodika?","Nejprve kontaktovat OSPOD a policii volat až tehdy, pokud tento orgán doporučí další eskalaci.","Kontaktovat Policii ČR na čísle 158, pokračovat v bezpečnostním postupu a po vyřešení událost zaznamenat a vyhodnotit.","Pokračovat v hledání společně s rodičem a policii kontaktovat až po delší době, pokud se rodič s tímto krokem ztotožní.",B,SAS-056-B,Metodika stanovuje po 30 minutách neúspěšného hledání kontaktování Policie ČR. Oznámení není podmíněno předchozím souhlasem rodiče ani doporučením OSPOD.,"Rozhodnutí, kdy eskalovat situaci na Policii ČR.",ANO,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-057,15,Standard 15.2 – Základní rámec systému kvality.,Cyklus kvality,ZÁKLADNÍ,znalostní,Který sled kroků odpovídá systému zvyšování kvality popsanému metodikou?,Kontrola – sankce – náprava – archivace.,Vyhodnocení – kontrola – schválení – inspekce.,Plánování – realizace – hodnocení – zlepšování.,C,SAS-057-C,"Metodika staví systém kvality na opakujícím se cyklu plánování, realizace, hodnocení a zlepšení.",Pochopení základního cyklu kvality.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-058,15,Standard 15.6 – Využití stížností jako nástroje kvality.,Stížnosti jako zdroj kvality,STŘEDNÍ,situační,V průběhu roku se v několika stížnostech opakuje podobné téma. Jak má služba podle metodiky tuto informaci využít?,Analyzovat opakující se problém a podle výsledku přijmout opatření ke zlepšení služby.,"Jednotlivé stížnosti vyřídit a dál je nespojovat, protože každý případ je individuální.","Zabývat se trendem pouze tehdy, pokud všechny stížnosti byly vyhodnoceny jako zcela oprávněné.",A,SAS-058-A,Stížnosti jsou v metodice chápány také jako zdroj informací o systémových slabinách služby.,Schopnost převést zpětnou vazbu do zlepšování služby.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-059,15,Standard 15.7 – Plán zvyšování kvality.,Plán zvyšování kvality,STŘEDNÍ,situační,Jak má být podle metodiky připraven plán zvyšování kvality?,"Jako roční přehled hlavních témat kvality s obecně formulovanými cíli, které tým průběžně konkretizuje podle situace.","Na základě zjištění z hodnocení, zpětné vazby, stížností či kontrol, s konkrétními opatřeními, odpovědností a termíny.",Především podle nálezů externích kontrol a inspekcí; interní podněty se do plánu doplňují až po jejich externím ověření.,B,SAS-059-B,"Zlepšování kvality má být konkrétní, řízené a kontrolovatelné, nikoli pouze deklarativní.",Praktický princip plánování kvality.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
SAS-060,15,Standard 15.3 a 15.7.,Neúčinný postup a nápravná opatření,POKROČILÁ,situační,"Roční hodnocení ukáže, že pracovníci formálně dodržují schválený postup, ale výsledky v jedné oblasti podpory rodin se dlouhodobě nezlepšují. Tým si není jistý, zda je problém v metodice, organizaci práce nebo v jiných bariérách. Co nejlépe odpovídá systému kvality?","Považovat oblast za splněnou, protože kontrola potvrdila dodržování postupu, a zaměřit se na jiné nedostatky.","Zachovat stávající postup do externí inspekce, aby interní změna neproběhla bez nezávislého potvrzení.","Analyzovat příčiny a bariéry, stanovit konkrétní opatření s odpovědností a termínem a následně ověřit jeho dopad na výsledky.",C,SAS-060-C,"Systém kvality nemá sledovat jen formální dodržování postupu. Pokud výsledky neodpovídají cílům, mají být hledány příčiny, přijato konkrétní opatření a jeho účinek následně vyhodnocen.",Schopnost používat systém kvality jako skutečný cyklus zlepšování.,NE,1.0,Metodika SAS Emcéčko – přiložená verze,ANO
